Method,Training_Size,Accuracy,F1-Score,Sensitivity,Specificity
PCA+XGBoost-20%,20%,0.533,0.5016,0.5471,0.8429
PCA+XGBoost-40%,40%,0.5964,0.5634,0.602,0.8637
PCA+XGBoost-60%,60%,0.6421,0.6073,0.6383,0.8783
PCA+XGBoost-80%,80%,0.698,0.6581,0.6927,0.8971
VGG16+XGBoost-20%,20%,0.599,0.5713,0.6104,0.8657
VGG16+XGBoost-40%,40%,0.6624,0.6323,0.662,0.8849
VGG16+XGBoost-60%,60%,0.6929,0.6527,0.6876,0.8948
VGG16+XGBoost-80%,80%,0.7335,0.6947,0.7284,0.9091
Raw+XGBoost-20%,20%,0.467,0.429,0.4665,0.8195
Raw+XGBoost-40%,40%,0.5609,0.5294,0.5584,0.8506
Raw+XGBoost-60%,60%,0.6015,0.5611,0.5815,0.8639
Raw+XGBoost-80%,80%,0.6447,0.5949,0.6213,0.8784
